type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
synthetic,agraw1,abrupt,0.0,exclude,any,yes,10,10,0.01,0.0,0.72
synthetic,agraw1,abrupt,0.0,exclude,any,yes,10,10,0.0001,0.0,0.5
synthetic,agraw1,abrupt,0.0,exclude,any,yes,10,10,1e-05,0.0,0.5714285714285714
synthetic,agraw1,abrupt,0.0,exclude,any,yes,10,100,0.01,0.0,0.72
synthetic,agraw1,abrupt,0.0,exclude,any,yes,10,100,0.0001,0.0,0.5
synthetic,agraw1,abrupt,0.0,exclude,any,yes,10,100,1e-05,0.0,0.5714285714285714
synthetic,agraw1,abrupt,0.0,exclude,any,yes,10,300,0.01,0.0,0.72
synthetic,agraw1,abrupt,0.0,exclude,any,yes,10,300,0.0001,0.0,0.5
synthetic,agraw1,abrupt,0.0,exclude,any,yes,10,300,1e-05,0.0,0.5714285714285714
synthetic,agraw1,abrupt,0.0,exclude,any,no,10,10,0.01,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,any,no,10,10,0.0001,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,any,no,10,10,1e-05,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,any,no,10,100,0.01,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,any,no,10,100,0.0001,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,any,no,10,100,1e-05,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,any,no,10,300,0.01,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,any,no,10,300,0.0001,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,any,no,10,300,1e-05,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,majority,yes,10,10,0.01,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,majority,yes,10,10,0.0001,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,majority,yes,10,10,1e-05,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,majority,yes,10,100,0.01,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,majority,yes,10,100,0.0001,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,majority,yes,10,100,1e-05,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,majority,yes,10,300,0.01,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,majority,yes,10,300,0.0001,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,majority,yes,10,300,1e-05,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,majority,no,10,10,0.01,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,majority,no,10,10,0.0001,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,majority,no,10,10,1e-05,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,majority,no,10,100,0.01,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,majority,no,10,100,0.0001,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,majority,no,10,100,1e-05,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,majority,no,10,300,0.01,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,majority,no,10,300,0.0001,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,majority,no,10,300,1e-05,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,all,yes,10,10,0.01,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,all,yes,10,10,0.0001,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,all,yes,10,10,1e-05,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,all,yes,10,100,0.01,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,all,yes,10,100,0.0001,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,all,yes,10,100,1e-05,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,all,yes,10,300,0.01,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,all,yes,10,300,0.0001,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,all,yes,10,300,1e-05,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,all,no,10,10,0.01,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,all,no,10,10,0.0001,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,all,no,10,10,1e-05,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,all,no,10,100,0.01,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,all,no,10,100,0.0001,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,all,no,10,100,1e-05,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,all,no,10,300,0.01,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,all,no,10,300,0.0001,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,all,no,10,300,1e-05,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,any,yes,10,10,0.01,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,any,yes,10,10,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,any,yes,10,10,1e-05,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,any,yes,10,100,0.01,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,any,yes,10,100,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,any,yes,10,100,1e-05,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,any,yes,10,300,0.01,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,any,yes,10,300,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,any,yes,10,300,1e-05,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,any,no,10,10,0.01,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,any,no,10,10,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,any,no,10,10,1e-05,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,any,no,10,100,0.01,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,any,no,10,100,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,any,no,10,100,1e-05,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,any,no,10,300,0.01,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,any,no,10,300,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,any,no,10,300,1e-05,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,majority,yes,10,10,0.01,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,majority,yes,10,10,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,majority,yes,10,10,1e-05,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,majority,yes,10,100,0.01,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,majority,yes,10,100,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,majority,yes,10,100,1e-05,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,majority,yes,10,300,0.01,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,majority,yes,10,300,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,majority,yes,10,300,1e-05,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,majority,no,10,10,0.01,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,majority,no,10,10,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,majority,no,10,10,1e-05,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,majority,no,10,100,0.01,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,majority,no,10,100,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,majority,no,10,100,1e-05,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,majority,no,10,300,0.01,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,majority,no,10,300,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,majority,no,10,300,1e-05,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,all,yes,10,10,0.01,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,all,yes,10,10,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,all,yes,10,10,1e-05,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,all,yes,10,100,0.01,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,all,yes,10,100,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,all,yes,10,100,1e-05,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,all,yes,10,300,0.01,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,all,yes,10,300,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,all,yes,10,300,1e-05,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,all,no,10,10,0.01,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,all,no,10,10,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,all,no,10,10,1e-05,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,all,no,10,100,0.01,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,all,no,10,100,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,all,no,10,100,1e-05,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,all,no,10,300,0.01,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,all,no,10,300,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,all,no,10,300,1e-05,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,any,yes,10,10,0.01,0.0,0.78
synthetic,agraw1,gradual,0.5,exclude,any,yes,10,10,0.0001,0.0,0.6875
synthetic,agraw1,gradual,0.5,exclude,any,yes,10,10,1e-05,0.0,0.72
synthetic,agraw1,gradual,0.5,exclude,any,yes,10,100,0.01,0.0,0.78
synthetic,agraw1,gradual,0.5,exclude,any,yes,10,100,0.0001,0.0,0.5
synthetic,agraw1,gradual,0.5,exclude,any,yes,10,100,1e-05,0.0,0.6875
synthetic,agraw1,gradual,0.5,exclude,any,yes,10,300,0.01,0.0,0.78
synthetic,agraw1,gradual,0.5,exclude,any,yes,10,300,0.0001,0.0,0.5
synthetic,agraw1,gradual,0.5,exclude,any,yes,10,300,1e-05,0.0,0.6875
synthetic,agraw1,gradual,0.5,exclude,any,no,10,10,0.01,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,any,no,10,10,0.0001,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,any,no,10,10,1e-05,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,any,no,10,100,0.01,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,any,no,10,100,0.0001,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,any,no,10,100,1e-05,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,any,no,10,300,0.01,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,any,no,10,300,0.0001,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,any,no,10,300,1e-05,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,majority,yes,10,10,0.01,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,majority,yes,10,10,0.0001,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,majority,yes,10,10,1e-05,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,majority,yes,10,100,0.01,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,majority,yes,10,100,0.0001,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,majority,yes,10,100,1e-05,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,majority,yes,10,300,0.01,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,majority,yes,10,300,0.0001,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,majority,yes,10,300,1e-05,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,majority,no,10,10,0.01,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,majority,no,10,10,0.0001,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,majority,no,10,10,1e-05,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,majority,no,10,100,0.01,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,majority,no,10,100,0.0001,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,majority,no,10,100,1e-05,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,majority,no,10,300,0.01,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,majority,no,10,300,0.0001,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,majority,no,10,300,1e-05,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,all,yes,10,10,0.01,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,all,yes,10,10,0.0001,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,all,yes,10,10,1e-05,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,all,yes,10,100,0.01,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,all,yes,10,100,0.0001,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,all,yes,10,100,1e-05,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,all,yes,10,300,0.01,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,all,yes,10,300,0.0001,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,all,yes,10,300,1e-05,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,all,no,10,10,0.01,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,all,no,10,10,0.0001,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,all,no,10,10,1e-05,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,all,no,10,100,0.01,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,all,no,10,100,0.0001,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,all,no,10,100,1e-05,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,all,no,10,300,0.01,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,all,no,10,300,0.0001,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,all,no,10,300,1e-05,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,any,yes,10,10,0.01,0.0,0.74
synthetic,agraw1,gradual,1.0,exclude,any,yes,10,10,0.0001,0.0,0.5714285714285714
synthetic,agraw1,gradual,1.0,exclude,any,yes,10,10,1e-05,0.0,0.5
synthetic,agraw1,gradual,1.0,exclude,any,yes,10,100,0.01,0.0,0.74
synthetic,agraw1,gradual,1.0,exclude,any,yes,10,100,0.0001,0.0,0.5714285714285714
synthetic,agraw1,gradual,1.0,exclude,any,yes,10,100,1e-05,0.0,0.5
synthetic,agraw1,gradual,1.0,exclude,any,yes,10,300,0.01,0.0,0.74
synthetic,agraw1,gradual,1.0,exclude,any,yes,10,300,0.0001,0.0,0.5714285714285714
synthetic,agraw1,gradual,1.0,exclude,any,yes,10,300,1e-05,0.0,0.5
synthetic,agraw1,gradual,1.0,exclude,any,no,10,10,0.01,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,any,no,10,10,0.0001,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,any,no,10,10,1e-05,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,any,no,10,100,0.01,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,any,no,10,100,0.0001,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,any,no,10,100,1e-05,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,any,no,10,300,0.01,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,any,no,10,300,0.0001,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,any,no,10,300,1e-05,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,majority,yes,10,10,0.01,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,majority,yes,10,10,0.0001,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,majority,yes,10,10,1e-05,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,majority,yes,10,100,0.01,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,majority,yes,10,100,0.0001,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,majority,yes,10,100,1e-05,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,majority,yes,10,300,0.01,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,majority,yes,10,300,0.0001,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,majority,yes,10,300,1e-05,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,majority,no,10,10,0.01,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,majority,no,10,10,0.0001,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,majority,no,10,10,1e-05,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,majority,no,10,100,0.01,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,majority,no,10,100,0.0001,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,majority,no,10,100,1e-05,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,majority,no,10,300,0.01,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,majority,no,10,300,0.0001,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,majority,no,10,300,1e-05,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,all,yes,10,10,0.01,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,all,yes,10,10,0.0001,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,all,yes,10,10,1e-05,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,all,yes,10,100,0.01,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,all,yes,10,100,0.0001,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,all,yes,10,100,1e-05,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,all,yes,10,300,0.01,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,all,yes,10,300,0.0001,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,all,yes,10,300,1e-05,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,all,no,10,10,0.01,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,all,no,10,10,0.0001,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,all,no,10,10,1e-05,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,all,no,10,100,0.01,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,all,no,10,100,0.0001,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,all,no,10,100,1e-05,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,all,no,10,300,0.01,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,all,no,10,300,0.0001,0.0,1.0
synthetic,agraw1,gradual,1.0,exclude,all,no,10,300,1e-05,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,any,yes,10,10,0.01,0.0,0.74
synthetic,agraw1,gradual,5.0,exclude,any,yes,10,10,0.0001,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,any,yes,10,10,1e-05,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,any,yes,10,100,0.01,0.0,0.76
synthetic,agraw1,gradual,5.0,exclude,any,yes,10,100,0.0001,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,any,yes,10,100,1e-05,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,any,yes,10,300,0.01,0.0,0.76
synthetic,agraw1,gradual,5.0,exclude,any,yes,10,300,0.0001,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,any,yes,10,300,1e-05,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,any,no,10,10,0.01,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,any,no,10,10,0.0001,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,any,no,10,10,1e-05,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,any,no,10,100,0.01,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,any,no,10,100,0.0001,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,any,no,10,100,1e-05,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,any,no,10,300,0.01,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,any,no,10,300,0.0001,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,any,no,10,300,1e-05,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,majority,yes,10,10,0.01,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,majority,yes,10,10,0.0001,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,majority,yes,10,10,1e-05,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,majority,yes,10,100,0.01,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,majority,yes,10,100,0.0001,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,majority,yes,10,100,1e-05,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,majority,yes,10,300,0.01,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,majority,yes,10,300,0.0001,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,majority,yes,10,300,1e-05,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,majority,no,10,10,0.01,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,majority,no,10,10,0.0001,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,majority,no,10,10,1e-05,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,majority,no,10,100,0.01,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,majority,no,10,100,0.0001,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,majority,no,10,100,1e-05,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,majority,no,10,300,0.01,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,majority,no,10,300,0.0001,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,majority,no,10,300,1e-05,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,all,yes,10,10,0.01,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,all,yes,10,10,0.0001,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,all,yes,10,10,1e-05,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,all,yes,10,100,0.01,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,all,yes,10,100,0.0001,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,all,yes,10,100,1e-05,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,all,yes,10,300,0.01,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,all,yes,10,300,0.0001,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,all,yes,10,300,1e-05,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,all,no,10,10,0.01,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,all,no,10,10,0.0001,0.0,1.0
